date,country,cases,deaths,recovered,cases_daily,deaths_daily,logInfection,logDeaths,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s).1,wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2020-03-11,India,62,1,4,6,1,4.127134385045092,0.0,23.367500000000007,26.111666666666665,2.1029166666666668,33.062083333333334,24.068749999999998,2.1029166666666668,163.92,95.79166666666667,415.9583333333333,26.90083333333334,42.166666666666664,69.08333333333333,0.9437500000000001,96790.88666666664,0.9754166666666665,1.1245833333333335,0.0
2020-03-12,India,73,1,4,11,0,4.290459441148391,0.0,24.069999999999997,26.739166666666666,1.0929166666666668,33.57083333333333,24.576666666666657,1.0929166666666668,201.22624999999996,203.41666666666666,413.8333333333333,115.84708333333333,148.58333333333334,87.79166666666667,0.9004166666666666,96803.98416666668,0.9725000000000001,0.5866666666666667,0.0
2020-03-13,India,82,2,4,9,1,4.406719247264253,0.6931471805599453,24.307083333333328,27.732499999999998,1.5091666666666665,34.20875,24.991666666666664,1.5091666666666665,82.94833333333334,216.75,406.2083333333333,141.65333333333336,195.375,75.375,0.9099999999999998,96823.76333333332,0.9254166666666666,0.6391666666666667,0.0
2020-03-14,India,102,2,4,20,0,4.624972813284271,0.6931471805599453,24.812916666666666,27.95416666666667,1.6925000000000006,34.96333333333333,24.82416666666666,1.6925000000000006,94.46875,188.08333333333334,415.5,91.73583333333333,125.08333333333333,96.58333333333333,0.8933333333333332,96865.94375000002,0.9383333333333331,0.7233333333333333,0.0
2020-03-15,India,113,2,13,11,0,4.727387818712341,0.6931471805599453,23.112916666666663,27.173333333333332,1.126666666666667,32.46041666666667,24.874583333333334,1.126666666666667,117.3779166666667,168.45833333333334,415.0416666666667,64.30125000000001,76.125,104.33333333333333,0.9375,96963.54125000001,0.9908333333333332,0.7804166666666666,0.0
2020-03-16,India,119,2,13,6,0,4.77912349311153,0.6931471805599453,24.722916666666666,27.687499999999996,1.5270833333333333,33.78458333333333,24.732083333333335,1.5270833333333333,57.623333333333335,205.41666666666666,409.5416666666667,112.87375000000002,152.95833333333334,92.83333333333333,0.8470833333333331,96954.45708333333,0.8945833333333333,0.2625,0.0
2020-03-17,India,142,3,14,23,1,4.955827057601261,1.0986122886681098,25.081666666666667,28.332499999999996,1.4887499999999996,34.81875,24.956249999999997,1.4887499999999996,65.73,206.0,410.5833333333333,120.83875,167.29166666666666,85.41666666666667,0.8608333333333333,96908.08541666665,0.9420833333333335,0.06833333333333333,0.0
2020-03-18,India,156,3,14,14,0,5.049856007249537,1.0986122886681098,25.479166666666668,29.3225,0.8362499999999998,35.71,25.616249999999997,0.8362499999999998,191.54416666666668,242.83333333333334,412.9583333333333,173.06708333333336,227.58333333333334,70.04166666666667,0.8683333333333333,96871.4475,0.8095833333333333,0.48,0.0
2020-03-19,India,194,4,15,38,1,5.267858159063328,1.3862943611198906,24.559166666666666,29.09875,1.31125,34.60833333333334,25.406666666666666,1.31125,182.45916666666665,202.625,411.4166666666667,112.10625,151.5,90.83333333333333,0.9012499999999998,96785.24458333332,0.9783333333333335,0.7162500000000002,0.0
2020-03-20,India,244,5,20,50,1,5.497168225293202,1.6094379124341003,23.49083333333333,27.22708333333334,2.680416666666666,33.06958333333335,24.517500000000002,2.680416666666666,322.3716666666666,159.04166666666666,412.25,56.8325,73.33333333333333,102.54166666666667,0.9304166666666669,96824.45374999999,0.9912500000000001,0.6029166666666667,0.0
2020-03-21,India,330,4,23,86,1,5.799092654460526,1.3862943611198906,23.087499999999995,25.9675,1.6233333333333333,32.57749999999999,23.923750000000002,1.6233333333333333,324.8908333333334,131.08333333333334,413.9583333333333,34.71750000000001,45.791666666666664,96.625,0.9466666666666667,96942.36749999998,0.995,0.5062499999999999,0.0
2020-03-22,India,396,7,27,66,3,5.981414211254481,1.9459101490553132,24.522083333333338,27.329166666666666,1.1233333333333333,34.199999999999996,24.784166666666664,1.1233333333333333,213.21791666666672,230.41666666666666,408.2083333333333,148.7420833333333,201.75,81.91666666666667,0.8883333333333333,96991.50666666667,0.77,0.19999999999999998,0.0
2020-03-23,India,499,10,27,103,3,6.212606095751519,2.302585092994046,25.654166666666665,29.09375,0.965,35.47791666666667,25.370833333333334,0.965,139.0366666666667,243.08333333333334,413.1666666666667,181.57666666666668,242.45833333333334,61.875,0.84375,96950.8445833333,0.9220833333333333,0.07541666666666667,0.0
2020-03-24,India,536,10,40,37,0,6.284134161070802,2.302585092994046,24.47041666666667,28.288749999999997,1.6120833333333333,34.977916666666665,24.844999999999995,1.6120833333333333,289.9704166666667,150.29166666666666,413.25,52.864583333333336,78.08333333333333,97.75,0.9299999999999998,96908.83416666667,0.9916666666666667,0.555,0.0
2020-03-25,India,657,12,43,121,2,6.48768401848461,2.4849066497880004,24.003750000000007,27.335833333333337,1.4491666666666665,34.06250000000001,24.51,1.4491666666666665,205.28958333333335,156.45833333333334,414.5416666666667,61.743750000000006,74.16666666666667,94.95833333333333,0.9312499999999999,96847.45708333336,0.9612499999999998,0.5383333333333333,0.0
2020-03-26,India,727,20,45,70,8,6.588926477533519,2.995732273553991,23.400833333333335,25.903750000000006,1.6054166666666665,32.85208333333333,23.6925,1.6054166666666665,87.08541666666666,99.16666666666667,409.7916666666667,25.176666666666673,42.25,74.125,0.9295833333333331,96747.90875,0.974166666666667,0.31999999999999995,0.0
2020-03-27,India,887,20,73,160,0,6.787844982309579,2.995732273553991,24.73541666666667,26.83916666666666,1.5337500000000004,34.19541666666666,24.341666666666665,1.5337500000000004,64.52541666666666,209.5,408.0416666666667,139.09958333333336,197.29166666666666,70.66666666666667,0.8641666666666667,96674.42625,0.8941666666666666,0.18208333333333335,0.0
2020-03-28,India,987,24,84,100,4,6.894670039433482,3.1780538303479458,23.81583333333333,26.99416666666667,1.9029166666666661,33.60583333333334,24.344166666666666,1.9029166666666661,77.39333333333333,162.29166666666666,409.25,71.40874999999998,106.66666666666667,91.125,0.9249999999999999,96811.84666666666,0.9829166666666667,0.8716666666666666,0.0
2020-03-29,India,1024,27,95,37,3,6.931471805599453,3.295836866004329,25.53708333333333,28.22375,2.1895833333333337,35.327916666666674,25.05916666666667,2.1895833333333337,114.49208333333331,250.95833333333334,405.1666666666667,181.07541666666668,251.875,70.25,0.8516666666666665,96835.73833333336,0.6766666666666666,0.06583333333333334,0.0
2020-03-30,India,1251,32,102,227,5,7.1316985104669115,3.4657359027997265,26.628750000000007,29.635833333333334,2.345,36.40583333333333,25.469999999999995,2.345,109.76125000000002,245.08333333333334,407.4583333333333,191.41125,269.0416666666667,53.958333333333336,0.7958333333333334,96768.54916666665,0.5195833333333333,0.02,0.0
2020-03-31,India,1397,35,123,146,3,7.242082359256962,3.5553480614894135,26.200833333333332,29.744583333333335,1.8037500000000002,36.35083333333333,25.42916666666667,1.8037500000000002,100.03291666666665,231.58333333333334,408.7916666666667,155.88250000000002,211.66666666666666,75.95833333333333,0.8316666666666666,96684.16083333333,0.89875,0.041666666666666664,0.0
2020-04-01,India,1998,58,148,601,23,7.599901959208498,4.060443010546419,26.65958333333333,30.108333333333334,1.6212499999999999,36.87083333333333,25.867916666666662,1.6212499999999999,79.76666666666668,229.5,411.0,141.43666666666667,191.5,88.375,0.8179166666666667,96747.54833333332,0.9766666666666669,0.09458333333333334,0.0
2020-04-02,India,2543,72,191,545,14,7.841099765422119,4.276666119016055,26.34625000000001,30.04958333333334,1.7554166666666668,36.36375,25.95458333333333,1.7554166666666668,58.52291666666667,228.0,410.7083333333333,143.23625,192.125,84.95833333333333,0.8208333333333333,96938.48499999999,0.9833333333333334,0.0675,0.0
2020-04-03,India,2567,72,192,24,0,7.8504931808711405,4.276666119016055,26.473333333333333,30.22708333333333,1.3162500000000001,36.02291666666667,25.647916666666674,1.3162500000000001,77.17958333333331,260.125,401.0416666666667,193.06291666666667,268.2916666666667,67.29166666666667,0.7970833333333333,96828.0716666667,0.6487499999999999,0.00125,0.0
2020-04-04,India,3082,86,229,515,14,8.033334015880062,4.454347296253507,26.751666666666665,30.680416666666662,1.5575,36.42291666666667,26.083333333333332,1.5575,78.27958333333332,282.2083333333333,399.875,237.58416666666665,338.6666666666667,44.875,0.7904166666666669,96760.68375000001,0.5599999999999999,0.0016666666666666668,0.0
2020-04-05,India,3588,99,229,506,13,8.185350223178686,4.59511985013459,26.239583333333332,30.455833333333334,1.4275,36.601666666666674,25.703750000000003,1.4275,86.57625,226.5,407.75,160.46791666666667,231.33333333333334,66.33333333333333,0.8437499999999999,96822.98583333335,0.8983333333333329,0.04666666666666667,0.0
2020-04-06,India,4778,136,375,1190,37,8.471777327885755,4.912654885736052,25.889166666666668,30.132083333333338,1.1133333333333335,36.29,25.971666666666675,1.1133333333333335,102.33458333333333,238.20833333333334,412.9583333333333,185.83166666666668,270.7916666666667,52.666666666666664,0.8579166666666667,96917.87166666664,0.65875,0.08291666666666668,0.0
2020-04-07,India,5311,150,421,533,14,8.577535420422398,5.0106352940962555,25.72791666666667,30.138333333333335,1.1991666666666667,36.24375,25.930000000000003,1.1991666666666667,121.21125000000002,234.45833333333334,412.5,176.83333333333334,259.4583333333333,57.833333333333336,0.8704166666666668,96931.46625000001,0.7516666666666668,0.14375,0.0
2020-04-08,India,5916,178,506,605,28,8.68541582383069,5.181783550292085,26.02416666666667,30.082083333333344,1.4091666666666667,36.475416666666675,25.894583333333326,1.4091666666666667,169.97375,235.54166666666666,410.5416666666667,175.01166666666668,246.58333333333334,60.791666666666664,0.8562500000000003,96849.50833333335,0.8445833333333335,0.07083333333333335,0.0
2020-04-09,India,6725,226,620,809,48,8.81358720447004,5.420534999272286,24.802083333333332,29.429999999999996,1.0108333333333333,34.885,25.647500000000004,1.0108333333333333,169.94333333333336,222.33333333333334,410.7916666666667,137.9983333333333,182.91666666666666,84.58333333333333,0.8908333333333333,96847.75208333333,0.98375,0.09458333333333335,0.0
2020-04-10,India,7598,246,774,873,20,8.935640333747571,5.5053315359323625,24.931249999999995,28.971666666666675,0.7241666666666667,35.035000000000004,25.09,0.7241666666666667,246.46166666666662,182.04166666666666,412.4583333333333,84.07416666666668,122.625,98.20833333333333,0.8895833333333333,96857.52375000001,0.7566666666666668,0.03833333333333333,0.0
2020-04-11,India,8446,288,969,848,42,9.041448235493888,5.662960480135946,24.67375,28.497916666666665,1.2125,34.61375,24.885,1.2125,147.81375000000003,178.33333333333334,411.2083333333333,102.00250000000001,155.33333333333334,76.54166666666667,0.8908333333333333,96921.39833333333,0.8675,0.6854166666666667,0.0
2020-04-12,India,9205,331,1080,759,43,9.127502093667179,5.802118375377063,24.305833333333336,27.510833333333334,0.6337500000000001,34.248333333333335,24.48416666666667,0.6337500000000001,191.13541666666666,124.0,418.1666666666667,59.93291666666668,96.66666666666667,64.33333333333333,0.9116666666666667,97016.12166666669,0.9554166666666664,0.2158333333333333,0.0
2020-04-13,India,10453,358,1181,1248,27,9.254644297532707,5.8805329864007,24.814166666666665,27.995000000000005,0.7954166666666667,35.004583333333336,24.974166666666665,0.7954166666666667,252.3958333333334,202.16666666666666,412.5833333333333,143.93958333333333,206.75,58.458333333333336,0.8966666666666665,96888.41833333333,0.8233333333333333,0.5454166666666665,0.0
2020-04-14,India,11487,393,1359,1034,35,9.348971240145405,5.973809611869261,22.51583333333333,25.666666666666668,1.1083333333333332,31.93833333333333,23.76166666666667,1.1083333333333332,261.9858333333334,48.291666666666664,416.0,7.947916666666668,14.75,40.666666666666664,0.9762499999999998,96792.97750000002,0.9975,1.10125,0.0
2020-04-15,India,12322,405,1432,835,12,9.419141561574516,6.003887067106539,22.91083333333334,24.7375,1.8879166666666665,31.973333333333333,23.41833333333334,1.8879166666666665,35.55833333333334,87.95833333333333,414.8333333333333,14.376249999999997,20.333333333333332,73.70833333333333,0.9320833333333333,96877.19624999998,0.9987499999999999,0.26541666666666663,0.0
2020-04-16,India,13430,448,1768,1108,43,9.505246289517283,6.104793232414985,23.962083333333336,25.209583333333338,1.7995833333333335,33.53625,23.795416666666668,1.7995833333333335,80.20458333333333,128.41666666666666,410.7083333333333,56.97208333333333,90.66666666666667,71.70833333333333,0.9066666666666666,97091.25708333333,0.7000000000000002,0.17625,0.0
